epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1870.89,2.07891,2.95448,1.56208,0.55465,0.30283,0.31956,0.15659,2.10026,3.26312,1.58448,0.000664122,0.000664122,0.000664122
2,3575.68,1.9087,2.05691,1.47137,0.35722,0.20005,0.19275,0.09866,2.34751,7.33648,1.95782,0.00119904,0.00119904,0.00119904
3,5278.01,1.82992,1.84591,1.44315,0.56664,0.31148,0.34289,0.17995,1.99113,2.36317,1.52479,0.00160196,0.00160196,0.00160196
4,6980.76,1.75201,1.73476,1.40785,0.57485,0.37366,0.41193,0.22561,1.88157,1.89924,1.46854,0.001406,0.001406,0.001406
5,9316.44,1.66006,1.60411,1.36093,0.61706,0.36812,0.42935,0.2393,1.89332,1.87356,1.48955,0.001208,0.001208,0.001208
6,11012.7,1.58232,1.51083,1.31709,0.64197,0.43367,0.50865,0.29088,1.64447,1.70717,1.34418,0.00101,0.00101,0.00101
7,12712.2,1.51239,1.41515,1.28011,0.6491,0.42973,0.51693,0.30886,1.57992,1.59549,1.30205,0.000812,0.000812,0.000812
8,14415.2,1.44368,1.34026,1.24692,0.65225,0.44678,0.53479,0.3262,1.51831,1.53512,1.2786,0.000614,0.000614,0.000614
9,16115.1,1.37532,1.26498,1.21239,0.73565,0.44874,0.57116,0.35962,1.45944,1.3883,1.24825,0.000416,0.000416,0.000416
10,17813.7,1.30911,1.20384,1.18339,0.73265,0.4806,0.59684,0.38639,1.3773,1.31606,1.20731,0.000218,0.000218,0.000218
